Date,Channel,Campaign Name,Spend ($)
2024-12-01,Google Ads,Google Campaign 3,1360
2024-12-01,Meta Ads,Meta Campaign 1,4272
2024-12-01,Email,Email Campaign 3,966
2024-12-01,Influencer,Influencer Campaign 3,4926
2024-12-01,LinkedIn Ads,LinkedIn Campaign 4,3944
2024-12-02,Google Ads,Google Campaign 4,3419
2024-12-02,Meta Ads,Meta Campaign 2,630
2024-12-02,Email,Email Campaign 4,1269
2024-12-02,Influencer,Influencer Campaign 4,2933
2024-12-02,LinkedIn Ads,LinkedIn Campaign 4,1684
2024-12-03,Google Ads,Google Campaign 2,3885
2024-12-03,Meta Ads,Meta Campaign 1,3404
2024-12-03,Email,Email Campaign 3,974
2024-12-03,Influencer,Influencer Campaign 2,3058
2024-12-03,LinkedIn Ads,LinkedIn Campaign 4,2547
2024-12-04,Google Ads,Google Campaign 4,3247
2024-12-04,Meta Ads,Meta Campaign 2,2306
2024-12-04,Email,Email Campaign 2,3234
2024-12-04,Influencer,Influencer Campaign 3,2399
2024-12-04,LinkedIn Ads,LinkedIn Campaign 4,1767
2024-12-05,Google Ads,Google Campaign 3,2028
2024-12-05,Meta Ads,Meta Campaign 3,4056
2024-12-05,Email,Email Campaign 1,1146
2024-12-05,Influencer,Influencer Campaign 3,3388
2024-12-05,LinkedIn Ads,LinkedIn Campaign 1,2935
2024-12-06,Google Ads,Google Campaign 2,2863
2024-12-06,Meta Ads,Meta Campaign 2,741
2024-12-06,Email,Email Campaign 2,3324
2024-12-06,Influencer,Influencer Campaign 2,3112
2024-12-06,LinkedIn Ads,LinkedIn Campaign 4,1863
2024-12-07,Google Ads,Google Campaign 4,1978
2024-12-07,Meta Ads,Meta Campaign 4,3056
2024-12-07,Email,Email Campaign 3,4514
2024-12-07,Influencer,Influencer Campaign 4,3652
2024-12-07,LinkedIn Ads,LinkedIn Campaign 4,2085
2024-12-08,Google Ads,Google Campaign 2,3573
2024-12-08,Meta Ads,Meta Campaign 2,3961
2024-12-08,Email,Email Campaign 2,4343
2024-12-08,Influencer,Influencer Campaign 3,2000
2024-12-08,LinkedIn Ads,LinkedIn Campaign 2,661
2024-12-09,Google Ads,Google Campaign 4,2481
2024-12-09,Meta Ads,Meta Campaign 4,3842
2024-12-09,Email,Email Campaign 4,4298
2024-12-09,Influencer,Influencer Campaign 2,1516
2024-12-09,LinkedIn Ads,LinkedIn Campaign 3,837
2024-12-10,Google Ads,Google Campaign 4,1576
2024-12-10,Meta Ads,Meta Campaign 1,4493
2024-12-10,Email,Email Campaign 1,879
2024-12-10,Influencer,Influencer Campaign 1,2562
2024-12-10,LinkedIn Ads,LinkedIn Campaign 1,564
2024-12-11,Google Ads,Google Campaign 4,3068
2024-12-11,Meta Ads,Meta Campaign 4,2527
2024-12-11,Email,Email Campaign 3,1995
2024-12-11,Influencer,Influencer Campaign 3,891
2024-12-11,LinkedIn Ads,LinkedIn Campaign 1,4974
2024-12-12,Google Ads,Google Campaign 3,4061
2024-12-12,Meta Ads,Meta Campaign 3,3599
2024-12-12,Email,Email Campaign 4,700
2024-12-12,Influencer,Influencer Campaign 4,3604
2024-12-12,LinkedIn Ads,LinkedIn Campaign 2,2954
2024-12-13,Google Ads,Google Campaign 3,1304
2024-12-13,Meta Ads,Meta Campaign 4,3231
2024-12-13,Email,Email Campaign 3,3273
2024-12-13,Influencer,Influencer Campaign 1,2070
2024-12-13,LinkedIn Ads,LinkedIn Campaign 1,3190
2024-12-14,Google Ads,Google Campaign 2,1528
2024-12-14,Meta Ads,Meta Campaign 3,1002
2024-12-14,Email,Email Campaign 3,4993
2024-12-14,Influencer,Influencer Campaign 3,4988
2024-12-14,LinkedIn Ads,LinkedIn Campaign 3,1984
2024-12-15,Google Ads,Google Campaign 3,1363
2024-12-15,Meta Ads,Meta Campaign 1,1063
